,lat,lng,name,open_date
0,39.7614387,-104.9838836,14er Brewing Company,2018-03-01
1,40.017013,-105.280475,Boulder Beer on Walnut,2017-07-22
2,39.4003186,-107.2107514,Batch at Roaring Fork Beer Company,2017-06-16
3,39.9863953,-104.8227099,Big Choice Brewing,2012-05-04
4,40.5311625,-105.0801891,Purpose Brewing and Cellars,2017-08-04
5,39.6019724,-104.8408202,Lost Highway Brewing Company,2017-06-03
6,40.0034682,-105.1016168,UTurn BBQ,2017-01-30
7,39.9618725,-105.5090982,James Peak Brewery &#038; Smokehouse,2016-11-18
8,39.6605409,-105.3521391,Evergreen Tap House &#038; Brewery,
9,39.7057909,-105.6973582,Guanella Pass Brewing Company,2017-05-26
10,40.6249386,-103.2099116,Parts and Labor Brewing,2016-12-23
11,40.0130762,-105.131537,Endo Brewing Company,2017-08-26
12,39.6741122,-104.7938078,Peak to Peak Tap &#038; Brew,2017-05-20
13,40.522606,-105.0112497,DC Oakes Brewhouse and Eatery,2017-06-20
14,40.1612268,-105.1068743,Bootstrap Brewing (Longmont),2017-03-09
15,39.5547211,-104.87889,Grist Brewing Company Lab (Lonetree),2017-05-27
16,40.437857,-104.9682009,Mash Lab Brewing,2016-12-15
17,39.3858044,-107.0820913,Capitol Creek Brewery,2017-05-22
18,39.8015147,-105.0809653,Denver Beer Company (Arvada),2017-06-17
19,37.4682775,-105.8666844,Square Peg Brewerks,2017-06-01
20,38.8714762,-104.82243,Goat Patch Brewing Company,2017-07-31
21,39.7291768,-104.9992469,The Intrepid Sojourner Beer Project,2017-05-20
22,40.3368404,-104.9059617,Veteran Brothers Brewing Company,2017-05-26
23,39.589058,-106.09902,Outer Range Brewing Company,2016-12-26
24,37.349996,-108.585629,WildEdge Brewing Collective,2017-04-11
25,39.7584077,-105.0152333,Zuni Street Brewing Company,2017-03-08
26,39.7917069,-105.0676402,SomePlace Else Brewery,2016-09-22
27,40.062723,-105.2842286,Cellar West Artisan Ales,2016-12-17
28,40.0260311,-105.2428707,Kettle and Spoke Brewery,2016-12-02
29,40.085256,-105.94152,Never Summer Brewing Company,2016-04-13
30,39.90846,-105.075033,Rails End Beer Company,2016-08-12
31,37.9944916,-105.699994,Crestone Brewing Company,2016-06-25
32,38.5246809,-106.0063026,Soulcraft Brewing,2016-11-19
33,39.7237723,-104.9869945,Banded Oak Brewing Company,2016-06-04
34,39.75939,-104.9856446,10 Barrel Brewing Company,2016-10-17
35,40.0201617,-105.2181712,White Labs Boulder Tasting Room,
36,40.5392903,-105.0752914,Gilded Goat Brewing,2017-02-03
